"Comment","Designator","Footprint","LCSC Part #"
"USBLC6-2SC6","U2","","C4190"
"Conn_02x05_Odd_Even","J5","","C124357"
"100 @ 100 MHz","FB2 FB1","","C1015"
"100n","C14 C7 C9 C10 C11 C12 C13","","C14663"
"10n","C15","","C57112"
"2.2n","C18","","C1604"
"0.1u","C17","","C14663"
"MPU-6050","U7","","C24112"
"2k2","R13 R14","","C4190"
"10k","R15 R1","","C25804"
"10u","C5 C16","","C19702"
"1u","C3 C4","","C15849"
"ME6211A28M3G-N","U3","",""
"250mA","F1","","C369154"
"D_Schottky","D1","","C191023"
"4.7uF","C1 C2","","C19666"
"5k","R2","","C23186"
"470","R4","","C23179"
"CHARGE_LED_R","D2","","C2286"
"MCP73831-2-OT","U1","","C424093"
"220","R11","","C22962"
"12pF","C6 C8","","C38523"
"MLX90393","U9","","C236676"
"27nH","L1","","C12100"
"Conn_Coaxial","J4","","C411563"
"DS-32-BLE4.2","U4","","C516258"
"ATGM336H-1N","U6","","C90770"
"ON_OFF","SW1","",""
"GPS_STATUS","D3","","C72043"
"SD_ACT","D4","","C72043"
"USB_ACT","D6","","C72043"
"BLE_CON","D7","","C72043"
"10","R5 R7 R10 R12","","C22859"
"BATT_STAT","D5","",""
"50","R6","","C23197"
"34","R8 R9","","C23140"
"PWR_PMOS","Q1","","C15127"
"JST_BATT","J2","","C145954"
"USB_OTG","J1","","C132560"
"0.4","R3","","C171357"
"Micro_SD_TF-15","U8","","C111196"
"STM32L151C8TxA","U5","","C9861"
